,meta,memento-datetime,url,data-type,status,1,2,memento-url,filename
94,"com,twitter)/an_cabraal/status/1325363360662228992",20201108090413,https://twitter.com/an_cabraal/status/1325363360662228992,text/html,200,H7RUQNXAUA35GYEMO77M7SCBG7F6A7AM,2795,https://web.archive.org/web/20201108090413/https://twitter.com/an_cabraal/status/1325363360662228992,status-1325363360662228992-20201108090413.html
95,"com,twitter)/an_cabraal/status/1325677847529320448",20201109055339,https://twitter.com/an_cabraal/status/1325677847529320448,text/html,200,U6JAQ7ZSCADZGWXXG7NCKYKA35D6MIJQ,3631,https://web.archive.org/web/20201109055339/https://twitter.com/an_cabraal/status/1325677847529320448,status-1325677847529320448-20201109055339.html
96,"com,twitter)/an_cabraal/status/1325679439607328770",20201109055952,https://twitter.com/an_cabraal/status/1325679439607328770,text/html,200,YL2OZTOY6I333R2FMF7XLSBAMKT3NW6W,3643,https://web.archive.org/web/20201109055952/https://twitter.com/an_cabraal/status/1325679439607328770,status-1325679439607328770-20201109055952.html
97,"com,twitter)/an_cabraal/status/1325679444661428226",20201109060005,https://twitter.com/an_cabraal/status/1325679444661428226,text/html,200,EHDROZBSBEM5WNWOOCTSDE6BDOC2A5VI,3262,https://web.archive.org/web/20201109060005/https://twitter.com/an_cabraal/status/1325679444661428226,status-1325679444661428226-20201109060005.html
98,"com,twitter)/an_cabraal/status/1325727311962894336",20201109091022,https://twitter.com/an_cabraal/status/1325727311962894336,text/html,200,N5WGBQ3A7UFMXT564AOT73M3BLXGID26,6127,https://web.archive.org/web/20201109091022/https://twitter.com/an_cabraal/status/1325727311962894336,status-1325727311962894336-20201109091022.html
99,"com,twitter)/an_cabraal/status/1326032002559209472",20201110052056,https://twitter.com/an_cabraal/status/1326032002559209472,text/html,200,QVCOZEGYFPPIAMINADNLLWVKH35EDHR4,2240,https://web.archive.org/web/20201110052056/https://twitter.com/an_cabraal/status/1326032002559209472,status-1326032002559209472-20201110052056.html
100,"com,twitter)/an_cabraal/status/1326093125966831616",20201110092354,https://twitter.com/an_cabraal/status/1326093125966831616,text/html,200,LL2TZ6MNLF4NP26GX7CFG2THURHS6RY7,2721,https://web.archive.org/web/20201110092354/https://twitter.com/an_cabraal/status/1326093125966831616,status-1326093125966831616-20201110092354.html
101,"com,twitter)/an_cabraal/status/1326220170172526593",20201110175125,https://twitter.com/an_cabraal/status/1326220170172526593,text/html,200,M2GWZT34LJ4FNWZDWQ5V2LJQMJJDKDUS,2463,https://web.archive.org/web/20201110175125/https://twitter.com/an_cabraal/status/1326220170172526593,status-1326220170172526593-20201110175125.html
102,"com,twitter)/an_cabraal/status/1326376660053225473",20201111041043,https://twitter.com/an_cabraal/status/1326376660053225473,text/html,200,R4OMLCIKGUK5KU5Z2DNNL3TSF2WYL5EN,2080,https://web.archive.org/web/20201111041043/https://twitter.com/an_cabraal/status/1326376660053225473,status-1326376660053225473-20201111041043.html
103,"com,twitter)/an_cabraal/status/1326377949105369088",20201111041624,https://twitter.com/an_cabraal/status/1326377949105369088,text/html,200,FLOY34NGULJVTJPZISUZCSUHJFE4M6WP,2400,https://web.archive.org/web/20201111041624/https://twitter.com/an_cabraal/status/1326377949105369088,status-1326377949105369088-20201111041624.html
